# source,"PS5 capture of race session 49, in-game tyre-wear gauge read off the HUD"
# method,"red fill fraction of each of the four HUD bars; +-4% quantisation (bar is ~24 px tall at 720p, yuv420 halves it)"
# car,Lamborghini Huracan GT3 15
# circuit,"Watkins Glen International, Long Course"
# compound,RS
# tyre_wear_mult,2x
# stint1,laps 1-13 (stop during 13)
# stint2,laps 13-20
video_t_s,race_lap,wear_fl,wear_fr,wear_rl,wear_rr
596,5.6327,0.3288,0.2466,0.3356,0.2534
598,5.6519,0.3288,0.2466,0.3356,0.2434
600,5.671,0.3288,0.2466,0.3356,0.2534
602,5.6902,0.3288,0.2466,0.3356,0.2534
604,5.7094,0.3288,0.2466,0.3356,0.2534
606,5.7286,0.3288,0.2466,0.3356,0.2534
608,5.7477,0.3288,0.2368,0.3356,0.2534
610,5.7669,0.3288,0.2368,0.3356,0.2534
612,5.7861,0.3288,0.2466,0.3356,0.2797
614,5.8052,0.3288,0.2466,0.3356,0.2643
616,5.8244,0.3288,0.2466,0.3356,0.2643
618,5.8436,0.3288,0.2466,0.3356,0.2643
620,5.8628,0.3288,0.2466,0.3500,0.3087
622,5.8819,0.3288,0.2466,0.3356,0.2643
624,5.9011,0.3288,0.2466,0.3500,0.2643
626,5.9203,0.3288,0.2466,0.3356,0.2534
628,5.9394,0.3288,0.2466,0.3356,0.2643
630,5.9586,0.3288,0.2466,0.3500,0.2643
632,5.9778,0.3288,0.2466,0.3500,0.2643
634,5.997,0.3288,0.2466,0.3500,0.2643
636,6.016,0.3288,0.2466,0.3500,0.2945
638,6.0351,0.3288,0.2466,0.3356,0.2945
640,6.0542,0.3288,0.2466,0.3356,0.2945
642,6.0733,0.3288,0.2466,0.3356,0.2945
644,6.0923,0.3288,0.2466,0.3500,0.2945
646,6.1114,0.3288,0.2466,0.3500,0.2643
648,6.1305,0.3288,0.2466,0.3500,0.2643
650,6.1496,0.3423,0.2466,0.3767,0.2643
652,6.1686,0.3288,0.2466,0.3500,0.2643
654,6.1877,0.3288,0.2466,0.3500,0.2643
